priority_rank,brand,route,countries,categories,market_roles,official_url,affiliate_target,next_action,cash_status
380,Seazon,/go/seazon/,France,prepared meals,fresh chef-prepared ready meals,https://seazon.fr/,needs_research,Research affiliate or direct partner path after domain is live.,route_ready_affiliate_pending
381,RetNemt,/go/retnemt/,denmark,meal kit,Danish meal-kit provider with recipe boxes delivered to the door,https://www.retnemt.dk/,direct partnership,Build Denmark meal-kit comparison block,route_ready_affiliate_pending
382,Soulara Active,/go/soulara-active/,Australia,plant-based prepared meals,brand variant candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
383,Uitgekookt,/go/uitgekookt/,Netherlands,prepared meals,fresh ready meals delivered at home,https://uitgekookt.nl/,needs_research,Research affiliate or direct partner path after domain is live.,route_ready_affiliate_pending
384,We Are Food,/go/we-are-food/,south-africa,frozen meals,South African frozen meal brand delivering ready meals from its online shop,https://wearefood.co.za/,direct partnership,Add as frozen prepared-meal option,route_ready_affiliate_pending
385,FitThree,/go/fitthree/,singapore,meal prep,Singapore chef-crafted healthy meals delivered weekly for active consumers,https://fitthree.com/,direct partnership,Add to fitness-focused Singapore shortlist,route_ready_affiliate_pending
386,Fratelli Desideri,/go/fratelli-desideri/,italy,premium meal kit,Premium restaurant-style meal kits for Italian shoppers,https://fratellidesideri.com/,direct partnership,Add to premium and giftable meal-kit cluster,route_ready_affiliate_pending
387,Freasy,/go/freasy/,Netherlands,frozen prepared meals,healthy frozen prepared meals,https://freasy.nl/,needs_research,Research affiliate or direct partner path after domain is live.,route_ready_affiliate_pending
388,Freshkitchen Meals,/go/freshkitchen-meals/,singapore,prepared meals,Singapore ready-to-eat meal-plan brand by SaladStop Group,https://freshkitchenmeals.sg/,direct partnership,Add to Singapore daily fresh meal-plan cluster,route_ready_affiliate_pending
389,HelloFresh Italy,/go/hellofresh-italy/,italy,meal kit,"HelloFresh Italy should be accounted for historically, but current source context indicates Italy exit/withdrawal rather than an active recommendation",https://www.hellofreshgroup.com/,not ready,Do not recommend as active; route users to current Italy alternatives,route_ready_affiliate_pending
390,HelloFresh Spain,/go/hellofresh-spain/,spain,meal kit,"HelloFresh Spain should be accounted for historically, but current source context indicates Spain exit/withdrawal rather than an active recommendation",https://www.hellofreshgroup.com/,not ready,Do not recommend as active; route users to current Spain alternatives,route_ready_affiliate_pending
391,Komero Food,/go/komero-food/,finland,ready meals,Finnish fresh ready-meal brand with vegetable-forward meals,https://www.komerofood.fi/,retail partnership or content mention,Account for ready-meal search demand but separate from home-delivery rankings,route_ready_affiliate_pending
392,KoRo,/go/koro/,Germany,grocery dinner delivery,German online food and pantry brand with healthy grocery-dinner basket relevance,https://www.korodrogerie.de/,affiliate application,Add to Germany healthy pantry and grocery-dinner pages,route_ready_affiliate_pending
393,Lean Bento,/go/lean-bento/,Singapore,high protein prepared meals,Singapore healthy bento and protein-forward prepared meal candidate for local meal-prep demand,https://leanbento.com/,direct partnership,Add to Singapore high-protein challenger pages with route caveat,route_ready_affiliate_pending
394,Mama Earth,/go/mama-earth/,Canada,grocery dinner delivery,"Canadian organic grocery, produce, and meal-planning delivery brand with dinner basket relevance",https://www.mamaearth.ca/,affiliate application,Add to Canada grocery-dinner and organic produce box pages,route_ready_affiliate_pending
395,Matkomfort,/go/matkomfort/,sweden,meal kit,Premium prepared meal-kit option around Stockholm,https://www.matkomfort.se/,direct partnership,Manual official-page check before top placement,route_ready_affiliate_pending
396,My Cooking Box,/go/my-cooking-box/,italy,meal kit,Italian meal kits with portioned ingredients and recipes,https://www.mycookingbox.com/,direct partnership,Add to premium Italian meal-kit cluster,route_ready_affiliate_pending
397,Nice To Fit You,/go/nice-to-fit-you/,Poland,diet prepared meals,Polish flexible diet catering service with healthy meal delivery app and customizable plans,https://apps.apple.com/pl/app/ntfy-healthy-meal-delivery/id1246308752,direct partnership after web route check,Add to Poland premium diet catering pages,route_ready_affiliate_pending
398,Oakhouse Foods,/go/oakhouse-foods/,UK,frozen senior meals,UK frozen ready-meal home delivery service with 250+ meals and strong senior/easy-dinner demand,https://www.oakhousefoods.co.uk/,affiliate application,"Add to UK frozen, seniors, and no-subscription ready-meal pages",route_ready_affiliate_pending
399,Phosh Food,/go/phosh-food/,spain,prepared meals,Chef-prepared meal prep delivery across mainland Spain and Portugal,https://www.phoshfood.com/,direct partnership,Confirm coverage area and add to Spain/Portugal expansion backlog,route_ready_affiliate_pending
400,pREP UK,/go/prep-uk/,UK,high protein prepared meals,UK fresh healthy meal prep service focused on gym meals and prepared meals delivered to the door,https://prepuk.com/,direct partnership,Add to UK budget and gym meal-prep pages,route_ready_affiliate_pending
401,PrepKing,/go/prepking/,UK,prepared meals,UK gourmet meal prep service with nutritionally balanced meals delivered weekly,https://prepking.co.uk/,direct partnership,Add to UK challenger meal-prep comparisons,route_ready_affiliate_pending
402,Proper Good,/go/proper-good/,US,shelf-stable meals,"shelf-stable soups, meals, and quick pantry dinners for convenient healthy eating",https://eatpropergood.com/,affiliate application,Add to shelf-stable and pantry dinner pages,route_ready_affiliate_pending
403,Provenance Meals,/go/provenance-meals/,US,prepared meals,gluten-free dairy-free prepared meal delivery and cleanse programs available with no subscription requirement,https://www.provenancemeals.com/,direct partnership,Add to premium wellness prepared-meal and cleanse pages,route_ready_affiliate_pending
404,Reishunger,/go/reishunger/,Germany,grocery dinner delivery,German pantry and meal-kit-style rice/noodle dinner brand with quick meal box relevance,https://www.reishunger.de/,affiliate application,Add to Germany grocery-dinner and pantry meal pages,route_ready_affiliate_pending
405,Ruokaboksi,/go/ruokaboksi/,Finland,meal kit,"Finnish meal box delivering weekly recipes, ingredients, and cooking instructions near major cities",https://www.ruokaboksi.fi/,direct partnership,Add to Finland meal-kit pages with delivery-area caveat,route_ready_affiliate_pending
406,Skagenfood,/go/skagenfood/,Denmark,meal kit,Danish meal-box and fish/seafood dinner delivery brand with recipe-box relevance,https://skagenfood.dk/,direct partnership,Add to Denmark seafood and meal-kit pages,route_ready_affiliate_pending
407,Spud,/go/spud/,Canada,grocery dinner delivery,Canadian online grocery and organic produce delivery service for dinner planning,https://www.spud.ca/,affiliate application,Normalize Canada SPUD route capitalization and add to grocery dinner pages,route_ready_affiliate_pending
408,SwoleFoods,/go/swolefoods/,New Zealand,fitness prepared meals,high-protein meal prep,https://swolefoods.co.nz/,needs_research,Research affiliate or direct gym/fitness partnership path.,route_ready_affiliate_pending
409,Sydney Meal Prep,/go/sydney-meal-prep/,Australia,prepared meals,regional meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
410,Tender Loving Cuisine,/go/tender-loving-cuisine/,Australia,senior and diet meals,"Australian prepared meal delivery brand for seniors, NDIS-style support, and healthy home meals",https://www.tlc.org.au/,direct partnership,Add to AU seniors and special-diet pages,route_ready_affiliate_pending
411,The Good Chef Ireland,/go/the-good-chef-ireland/,Ireland,prepared meals,prepared meals candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
412,The Good Kitchen Canada,/go/the-good-kitchen-canada/,Canada,prepared meals,prepared meals candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
413,The Good Meal Co,/go/the-good-meal-co/,Australia,prepared meals,Australian ready-made meal delivery brand focused on convenient prepared meals,https://www.thegoodmealco.com.au/,direct partnership,Add to AU prepared-meal challenger pages,route_ready_affiliate_pending
414,The Good Prep Ireland,/go/the-good-prep-ireland/,Ireland,prepared meals,Irish healthy prepared meal delivery and meal prep candidate for convenience and nutrition-focused buyers,https://thegoodprep.ie/,direct partnership,Add to Ireland prepared meal challenger pages,route_ready_affiliate_pending
415,The Meal Prep Co Canada,/go/the-meal-prep-co-canada/,Canada,prepared meals,meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
416,The Meal Prep Company Ireland,/go/the-meal-prep-company-ireland/,Ireland,prepared meals,meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
417,The Meal Prep Shop Australia,/go/the-meal-prep-shop-australia/,Australia,prepared meals,meal prep candidate,,possible,"Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation",route_ready_affiliate_pending
